
Instance: ORTEC-VRPTW-ASYM-898e14bd-d1-n230-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:31, Cost_of_solution: 446676
Instance: ORTEC-VRPTW-ASYM-8971de71-d1-n558-k34.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:31, Cost_of_solution: 473663
Instance: ORTEC-VRPTW-ASYM-8bc13a3f-d1-n421-k40.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:31, Cost_of_solution: 411376
Instance: ORTEC-VRPTW-ASYM-8bc1fa17-d1-n302-k23.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:31, Cost_of_solution: 228895
Instance: ORTEC-VRPTW-ASYM-9016f313-d1-n200-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:35, Cost_of_solution: 553312
Instance: ORTEC-VRPTW-ASYM-90e8a20e-d1-n296-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:52:39, Cost_of_solution: 450479
Instance: ORTEC-VRPTW-ASYM-91a5c759-d1-n263-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 379972
Instance: ORTEC-VRPTW-ASYM-937b2edc-d1-n234-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 336813
Instance: ORTEC-VRPTW-ASYM-7fa45da1-d1-n316-k19.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 399110
Instance: ORTEC-VRPTW-ASYM-9219f367-d1-n252-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 557565
Instance: ORTEC-VRPTW-ASYM-94f07625-d1-n254-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 264260
Instance: ORTEC-VRPTW-ASYM-7e105293-d1-n268-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 383510
Instance: ORTEC-VRPTW-ASYM-93c37e02-d1-n430-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 373886
Instance: ORTEC-VRPTW-ASYM-945a5617-d1-n355-k27.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 309318
Instance: ORTEC-VRPTW-ASYM-83be8e48-d1-n350-k21.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:28, Cost_of_solution: 438162
Instance: ORTEC-VRPTW-ASYM-93ee144d-d1-n688-k38.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:29, Cost_of_solution: 454218
Instance: ORTEC-VRPTW-ASYM-971718c6-d1-n220-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:29, Cost_of_solution: 409825
Instance: ORTEC-VRPTW-ASYM-8dfa33df-d1-n328-k31.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:53:30, Cost_of_solution: 407271
Instance: ORTEC-VRPTW-ASYM-9ba5962e-d1-n329-k23.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:26, Cost_of_solution: 279948
